Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DeepPlankter_main.PrjPcb|ReportField=ProjectFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb|ReportField=Title~BOM_PartType For Project [DeepPlankter_main.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~257|ReportField=ReportTime~16:03:12|ReportField=ReportDate~2021/1/24|ReportField=ReportDateTime~2021/1/24 16:03:12|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DeepPlankter_main.PrjPcb|ReportField=DataSourceFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb
2mR|Res Metal Strip 1206 0.02 Ohm 1% 0.25W(1/4W) °¿75ppm/C Molded SMD Automotive Embossed Plastic T/R|R39, R41, R73, R81|RESC3216X89X51ML25T25|CMP-1863047-2|4
120R|Res Thick Film 0805 120 Ohm 1% 0.125W(1/8W) °¿100ppm/C Pad SMD T/R|R44|PCB-9ibrwdurth7ekdzjdzvn-1|CMP-86e64d9c460d5921-7|1
10R|Precision resistor, SMD [Panasonic Automotive & Industrial Systems] ERJ3EKF10R0V Precision resistor, SMD|R49|RESC1608X06N|CMP-3652131-6|1
4.7k|RES SMD 4.7K OHM 0.1% 1/10W 0603|R50, R54|RESC1609X55X30NL10T20|CMP-1863095-2|2
330R|Res General Purpose Thick Film 0603 330 Ohm 5% 1/10W °¿100ppm/°„C Molded SMD Paper T/R|R53, R87, R88, R89|PCB-gqq469mmsoijq124jywu-1|CMP-1852941-7|4
4.7k|Thick Film Resistors - SMD 1/16watt 4.7Kohms 1%|R55, R56, R57, R58, R59, R60|RESC1005X40X25NL10T10|CMP-3660836-2|6
10k|Thick Film Resistors - SMD 10K OHM 1%|R61|RESC1005X40X25NL05T10|CMP-3661304-2|1
0R|RC Series 0402 0.063 W 0 Ohms Jumper Surface Mount Thick Film Chip Resistor|R62|PCB-azzhouwj1h0sqqpj65ny-1|CMP-13527731-11|1
0R (NC)|RC Series 0402 0.063 W 0 Ohms Jumper Surface Mount Thick Film Chip Resistor|R63|PCB-azzhouwj1h0sqqpj65ny-1|CMP-13527731-11|1
27R|RES SMD 27 OHM 1% 1/16W 0402|R64, R65|RESC1005X40X25NL05T05|CMP-3855807-2|2
3M|Thick Film Resistors - SMD 0603 3Mohms 5% Tol|R66, R75|RESC1608X55X30LL15T15|CMP-3654610-2|2
470k|Res Thick Film 0603 1M Ohm 1% 0.33W(1/3W) °¿100ppm/°„C Pad SMD Automotive T/R|R69, R78|RESC1609X55X30LL10T20|CMP-d1221a8dcd300ee5-2|2
1k|Res Thick Film 0603 1K Ohm 5% 1/10W °¿100ppm/°„C Molded SMD SMD Paper T/R|R70, R79|RESC1608X55X30NL15T15|CMP-68a0a2e72c4eb767-21|2
10k|Res Thin Film 0603 10K Ohm 1% 1/16W °¿50ppm/°„C Molded SMD SMD Paper T/R|R72, R74|RESC1608X55X30NL15T15|CMP-a8e96364fc37772e-4|2
100k|Res General Purpose Thick Film 0603 100k Ohm 1% 1/10W °¿100ppm/°„C Molded Paper T/R|R82, R84|RESC1608X55X30LL15T15|CMP-9abf51c576ad4578-20|2
25k|RES SMD 25.5K OHM 1% 1/10W 0603|R83|RESC1609X50X30LL10T20|CMP-1857223-2|1
43K|Thick Film Resistors - SMD 0603 43Kohms 5% Tol|R85|RESC1608X55X30LL15T15|CMP-3653524-2|1
Omron B3U-1000P|Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 1.5N SMD Embossed T/R|RESET, SW1|PCB-a8ildroimidtkya2dspy-1|CMP-2198857-15|2
Molex 1040310811|1.10mm Pitch microSD Memory Card Connector, SMT, Push-Pull Type, 1.42mm Height, with Detect Switch|SD|PCB-e07cv7eyfg1wxdj7ioop-1|CMP-a4a36cb6bd117b64-5|1
JST B8B-XH-A(LF)(SN)|Connector Header, XH Series, 8 Position, 2.50mm, Through Hole, Press-Fit, Solder, Natural|SPI1, SPI2|PCB-mlv55ck369se549tp0uo-1|CMP-8c2545134b9253e2-2|2
Molex 0022032041|Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Thru-Hole KK?? Bag|SWD, UART|PCB-w7fgx0p37qyww1etoafk-1|CMP-4df18464dcf59236-7|2
