timestamp,cpu_load,sys_ram,sys_sd,sys_volt,sys_curr,sys_pwr,sys_vbat,mcu_temp,gyro_temp,bat_v0,bat_i0,bat_ich0,bat_t0,bat_soc0,bat_v1,bat_i1,bat_ich1,bat_t1,bat_soc1,esc_i,serv_i1,serv_i2,eular_x,eular_y,eular_z,pressure,humidity,air_temp,servo1_ang,servo2_ang,esc_thr,gnss_lat,gnss_lon,gnss_speed,gnss_alt,gnss_course,gnss_sat
1646585582,0.00,0.000,0.000,2.502,0.1112,0.8914,2.9843,24.0,19.000,8.0423,-0.0656,0.0002,0.0000,0.0000,7.9812,-0.0441,0.0012,0.0000,0.0000,0.0013,0.0207,0.0182,4.42,1.65,-110.92,102365.23,32.51,21.907,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585583,0.00,0.000,0.000,2.502,0.0814,0.6530,2.9848,23.9,19.125,8.0416,-0.0527,-0.0003,0.0000,0.0000,7.9816,-0.0285,0.0005,0.0000,0.0000,0.0007,0.0201,0.0179,4.93,1.54,-110.90,102366.17,32.47,21.912,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585584,0.00,0.000,0.000,2.502,0.0851,0.6827,2.9847,23.9,19.000,8.0416,-0.0535,0.0001,0.0000,0.0000,7.9801,-0.0298,0.0017,0.0000,0.0000,0.0005,0.0204,0.0179,5.32,1.95,-111.03,102371.80,32.38,21.921,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585586,0.00,0.000,0.000,2.502,0.1183,0.9476,2.9834,23.7,19.125,8.0417,-0.0613,-0.0001,0.0000,0.0000,7.9794,-0.0567,0.0004,0.0000,0.0000,-0.0005,0.0198,0.0175,5.92,2.08,-110.85,102327.94,32.34,21.697,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585587,0.00,0.000,0.000,2.501,0.1291,1.0348,2.9821,23.8,19.125,8.0431,-0.0705,0.0011,0.0000,0.0000,7.9786,-0.0559,0.0016,0.0000,0.0000,-0.0038,0.0204,0.0181,5.56,1.82,-110.96,102363.12,32.30,21.913,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585588,0.00,0.000,0.000,2.502,0.0974,0.7809,2.9835,23.9,19.250,8.0411,-0.0545,0.0002,0.0000,0.0000,7.9791,-0.0418,0.0009,0.0000,0.0000,-0.0008,0.0187,0.0181,4.13,1.99,-110.92,102362.54,32.25,21.915,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585589,0.00,0.000,0.000,2.502,0.0822,0.6586,2.9827,23.9,19.125,8.0408,-0.0503,0.0006,0.0000,0.0000,7.9787,-0.0302,0.0011,0.0000,0.0000,-0.0026,0.0201,0.0193,5.09,2.38,-111.06,102367.06,32.19,21.911,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585590,0.00,0.000,0.000,2.502,0.0715,0.5728,2.9836,23.8,19.125,8.0402,-0.0424,0.0005,0.0000,0.0000,7.9785,-0.0265,0.0021,0.0000,0.0000,-0.0003,0.0187,0.0190,5.05,2.31,-111.15,102364.26,32.15,21.906,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585591,0.00,0.000,0.000,2.501,0.0946,0.7578,2.9832,24.0,19.125,8.0395,-0.0552,-0.0002,0.0000,0.0000,7.9795,-0.0389,0.0006,0.0000,0.0000,-0.0013,0.0192,0.0180,5.65,1.99,-111.06,102355.36,32.11,21.845,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585592,0.00,0.000,0.000,2.501,0.1252,1.0036,2.9827,24.1,19.125,8.0391,-0.0759,-0.0004,0.0000,0.0000,7.9782,-0.0504,-0.0007,0.0000,0.0000,0.0011,0.0191,0.0186,6.05,2.36,-110.89,102351.49,32.04,21.820,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585593,0.00,0.000,0.000,2.503,0.0978,0.7847,2.9831,23.9,19.000,8.0414,-0.0652,-0.0003,0.0000,0.0000,7.9780,-0.0347,-0.0017,0.0000,0.0000,-0.0017,0.0193,0.0161,6.30,2.31,-110.94,102364.05,32.01,21.902,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585594,0.00,0.000,0.000,2.503,0.0914,0.7331,2.9835,24.1,19.125,8.0411,-0.0568,0.0001,0.0000,0.0000,7.9790,-0.0359,-0.0014,0.0000,0.0000,0.0009,0.0186,0.0168,6.14,2.66,-111.10,102361.55,31.97,21.898,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585595,0.00,0.000,0.000,2.501,0.1196,0.9587,2.9837,23.9,19.125,8.0369,-0.0743,-0.0003,0.0000,0.0000,7.9788,-0.0461,-0.0005,0.0000,0.0000,0.0064,0.0190,0.0159,6.11,2.41,-111.22,102335.33,31.94,21.756,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585597,0.00,0.000,0.000,2.502,0.1264,1.0124,2.9844,24.1,19.250,8.0378,-0.0737,0.0002,0.0000,0.0000,7.9766,-0.0526,-0.0001,0.0000,0.0000,0.0052,0.0185,0.0146,6.16,2.36,-111.32,102364.41,31.90,21.894,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585598,0.00,0.000,0.000,2.502,0.1100,0.8817,2.9837,24.2,19.125,8.0398,-0.0591,0.0000,0.0000,0.0000,7.9802,-0.0513,-0.0005,0.0000,0.0000,0.0019,0.0183,0.0161,6.12,2.63,-111.39,102365.41,31.90,21.882,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585599,0.00,0.000,0.000,2.503,0.0952,0.7633,2.9828,24.0,19.125,8.0439,-0.0494,0.0007,0.0000,0.0000,7.9802,-0.0433,0.0018,0.0000,0.0000,0.0009,0.0190,0.0167,6.11,2.45,-111.52,102368.02,31.86,21.877,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
